Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
FAY99780_pass_barcode08_98e12ebb_5ad7f319_116	(13.0, 1.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 2.0)	(19.0, 4.0)	(20.0, 1.0)	(21.0, 1.0)	(22.0, 2.0)	(23.0, 2.0)	(24.0, 6.0)	(25.0, 4.0)	(26.0, 10.0)	(27.0, 8.0)	(28.0, 18.0)	(29.0, 8.0)	(30.0, 5.0)	(31.0, 15.0)	(32.0, 6.0)	(33.0, 10.0)	(34.0, 3.0)	(35.0, 0.0)	(36.0, 1.0)	(37.0, 1.0)										
FAY99780_pass_barcode08_98e12ebb_5ad7f319_117	(15.0, 4.0)	(16.0, 2.0)	(17.0, 2.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 0.0)	(21.0, 4.0)	(22.0, 2.0)	(23.0, 0.0)	(24.0, 4.0)	(25.0, 8.0)	(26.0, 3.0)	(27.0, 8.0)	(28.0, 9.0)	(29.0, 11.0)	(30.0, 12.0)	(31.0, 14.0)	(32.0, 8.0)	(33.0, 11.0)	(34.0, 6.0)	(35.0, 3.0)	(36.0, 0.0)	(37.0, 1.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_118	(14.0, 1.0)	(15.0, 1.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 2.0)	(19.0, 4.0)	(20.0, 2.0)	(21.0, 1.0)	(22.0, 5.0)	(23.0, 5.0)	(24.0, 5.0)	(25.0, 4.0)	(26.0, 4.0)	(27.0, 3.0)	(28.0, 10.0)	(29.0, 12.0)	(30.0, 11.0)	(31.0, 12.0)	(32.0, 10.0)	(33.0, 6.0)	(34.0, 6.0)	(35.0, 2.0)	(36.0, 2.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 1.0)									
FAY99780_pass_barcode08_98e12ebb_5ad7f319_119	(15.0, 1.0)	(16.0, 2.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 4.0)	(20.0, 3.0)	(21.0, 3.0)	(22.0, 2.0)	(23.0, 5.0)	(24.0, 2.0)	(25.0, 3.0)	(26.0, 6.0)	(27.0, 14.0)	(28.0, 10.0)	(29.0, 10.0)	(30.0, 16.0)	(31.0, 14.0)	(32.0, 13.0)	(33.0, 5.0)	(34.0, 4.0)	(35.0, 2.0)	(36.0, 3.0)	(37.0, 0.0)	(38.0, 1.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_12	(13.0, 1.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 9.0)	(19.0, 2.0)	(20.0, 6.0)	(21.0, 2.0)	(22.0, 11.0)	(23.0, 7.0)	(24.0, 9.0)	(25.0, 12.0)	(26.0, 10.0)	(27.0, 13.0)	(28.0, 18.0)	(29.0, 22.0)	(30.0, 32.0)	(31.0, 37.0)	(32.0, 40.0)	(33.0, 32.0)	(34.0, 12.0)	(35.0, 9.0)	(36.0, 1.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_120	(14.0, 3.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 3.0)	(19.0, 3.0)	(20.0, 4.0)	(21.0, 5.0)	(22.0, 2.0)	(23.0, 1.0)	(24.0, 7.0)	(25.0, 4.0)	(26.0, 6.0)	(27.0, 13.0)	(28.0, 11.0)	(29.0, 11.0)	(30.0, 8.0)	(31.0, 24.0)	(32.0, 11.0)	(33.0, 6.0)	(34.0, 3.0)	(35.0, 1.0)	(36.0, 1.0)	(37.0, 0.0)	(38.0, 1.0)										
FAY99780_pass_barcode08_98e12ebb_5ad7f319_121	(13.0, 1.0)	(14.0, 2.0)	(15.0, 3.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 1.0)	(20.0, 2.0)	(21.0, 3.0)	(22.0, 6.0)	(23.0, 7.0)	(24.0, 5.0)	(25.0, 3.0)	(26.0, 4.0)	(27.0, 6.0)	(28.0, 14.0)	(29.0, 15.0)	(30.0, 11.0)	(31.0, 15.0)	(32.0, 13.0)	(33.0, 8.0)	(34.0, 0.0)	(35.0, 1.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_122	(14.0, 1.0)	(15.0, 2.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 4.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 6.0)	(23.0, 2.0)	(24.0, 4.0)	(25.0, 3.0)	(26.0, 5.0)	(27.0, 7.0)	(28.0, 8.0)	(29.0, 3.0)	(30.0, 9.0)	(31.0, 14.0)	(32.0, 10.0)	(33.0, 5.0)	(34.0, 1.0)	(35.0, 1.0)	(36.0, 1.0)	(37.0, 1.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_123	(13.0, 2.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 1.0)	(21.0, 2.0)	(22.0, 3.0)	(23.0, 3.0)	(24.0, 3.0)	(25.0, 1.0)	(26.0, 3.0)	(27.0, 3.0)	(28.0, 10.0)	(29.0, 8.0)	(30.0, 11.0)	(31.0, 5.0)	(32.0, 9.0)	(33.0, 7.0)	(34.0, 3.0)	(35.0, 4.0)	(36.0, 1.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_124	(14.0, 2.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 5.0)	(20.0, 3.0)	(21.0, 2.0)	(22.0, 6.0)	(23.0, 5.0)	(24.0, 4.0)	(25.0, 9.0)	(26.0, 6.0)	(27.0, 8.0)	(28.0, 6.0)	(29.0, 13.0)	(30.0, 8.0)	(31.0, 8.0)	(32.0, 6.0)	(33.0, 8.0)	(34.0, 2.0)	(35.0, 3.0)	(36.0, 1.0)	(37.0, 1.0)	(38.0, 1.0)										
FAY99780_pass_barcode08_98e12ebb_5ad7f319_125	(10.0, 1.0)	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 5.0)	(21.0, 4.0)	(22.0, 1.0)	(23.0, 5.0)	(24.0, 9.0)	(25.0, 7.0)	(26.0, 6.0)	(27.0, 4.0)	(28.0, 11.0)	(29.0, 13.0)	(30.0, 15.0)	(31.0, 13.0)	(32.0, 10.0)	(33.0, 12.0)	(34.0, 1.0)	(35.0, 3.0)	(36.0, 1.0)	(37.0, 1.0)	(38.0, 1.0)						
FAY99780_pass_barcode08_98e12ebb_5ad7f319_126	(13.0, 2.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 2.0)	(21.0, 1.0)	(22.0, 4.0)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 6.0)	(26.0, 5.0)	(27.0, 7.0)	(28.0, 8.0)	(29.0, 15.0)	(30.0, 11.0)	(31.0, 19.0)	(32.0, 8.0)	(33.0, 12.0)	(34.0, 2.0)	(35.0, 1.0)	(36.0, 1.0)	(37.0, 0.0)	(38.0, 2.0)									
FAY99780_pass_barcode08_98e12ebb_5ad7f319_127	(15.0, 1.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 0.0)	(19.0, 3.0)	(20.0, 3.0)	(21.0, 1.0)	(22.0, 7.0)	(23.0, 5.0)	(24.0, 4.0)	(25.0, 3.0)	(26.0, 1.0)	(27.0, 7.0)	(28.0, 5.0)	(29.0, 8.0)	(30.0, 11.0)	(31.0, 7.0)	(32.0, 11.0)	(33.0, 10.0)	(34.0, 2.0)	(35.0, 4.0)	(36.0, 1.0)													
FAY99780_pass_barcode08_98e12ebb_5ad7f319_128	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 0.0)	(20.0, 2.0)	(21.0, 1.0)	(22.0, 4.0)	(23.0, 3.0)	(24.0, 2.0)	(25.0, 6.0)	(26.0, 4.0)	(27.0, 6.0)	(28.0, 5.0)	(29.0, 3.0)	(30.0, 18.0)	(31.0, 11.0)	(32.0, 6.0)	(33.0, 8.0)	(34.0, 7.0)	(35.0, 2.0)	(36.0, 1.0)													
FAY99780_pass_barcode08_98e12ebb_5ad7f319_129	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 4.0)	(19.0, 1.0)	(20.0, 0.0)	(21.0, 8.0)	(22.0, 4.0)	(23.0, 6.0)	(24.0, 2.0)	(25.0, 5.0)	(26.0, 6.0)	(27.0, 12.0)	(28.0, 10.0)	(29.0, 9.0)	(30.0, 6.0)	(31.0, 15.0)	(32.0, 7.0)	(33.0, 9.0)	(34.0, 3.0)	(35.0, 1.0)	(36.0, 2.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_13	(14.0, 2.0)	(15.0, 2.0)	(16.0, 2.0)	(17.0, 5.0)	(18.0, 4.0)	(19.0, 3.0)	(20.0, 5.0)	(21.0, 10.0)	(22.0, 11.0)	(23.0, 14.0)	(24.0, 12.0)	(25.0, 5.0)	(26.0, 11.0)	(27.0, 5.0)	(28.0, 22.0)	(29.0, 17.0)	(30.0, 30.0)	(31.0, 25.0)	(32.0, 31.0)	(33.0, 21.0)	(34.0, 9.0)	(35.0, 5.0)	(36.0, 5.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_130	(16.0, 1.0)	(17.0, 1.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 1.0)	(21.0, 0.0)	(22.0, 5.0)	(23.0, 4.0)	(24.0, 3.0)	(25.0, 3.0)	(26.0, 5.0)	(27.0, 13.0)	(28.0, 8.0)	(29.0, 9.0)	(30.0, 11.0)	(31.0, 13.0)	(32.0, 3.0)	(33.0, 9.0)	(34.0, 6.0)	(35.0, 2.0)	(36.0, 0.0)	(37.0, 1.0)													
FAY99780_pass_barcode08_98e12ebb_5ad7f319_131	(16.0, 1.0)	(17.0, 0.0)	(18.0, 4.0)	(19.0, 2.0)	(20.0, 1.0)	(21.0, 3.0)	(22.0, 3.0)	(23.0, 5.0)	(24.0, 1.0)	(25.0, 4.0)	(26.0, 6.0)	(27.0, 4.0)	(28.0, 6.0)	(29.0, 5.0)	(30.0, 11.0)	(31.0, 10.0)	(32.0, 7.0)	(33.0, 9.0)	(34.0, 1.0)	(35.0, 0.0)	(36.0, 2.0)	(37.0, 1.0)													
FAY99780_pass_barcode08_98e12ebb_5ad7f319_132	(5.0, 1.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 0.0)	(19.0, 3.0)	(20.0, 3.0)	(21.0, 1.0)	(22.0, 3.0)	(23.0, 2.0)	(24.0, 3.0)	(25.0, 3.0)	(26.0, 4.0)	(27.0, 8.0)	(28.0, 11.0)	(29.0, 6.0)	(30.0, 6.0)	(31.0, 9.0)	(32.0, 5.0)	(33.0, 3.0)	(34.0, 1.0)	(35.0, 2.0)	(36.0, 0.0)	(37.0, 1.0)	(38.0, 0.0)	(39.0, 1.0)
FAY99780_pass_barcode08_98e12ebb_5ad7f319_133	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 0.0)	(20.0, 6.0)	(21.0, 2.0)	(22.0, 2.0)	(23.0, 4.0)	(24.0, 6.0)	(25.0, 5.0)	(26.0, 4.0)	(27.0, 8.0)	(28.0, 7.0)	(29.0, 11.0)	(30.0, 18.0)	(31.0, 13.0)	(32.0, 8.0)	(33.0, 10.0)	(34.0, 7.0)	(35.0, 1.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_134	(9.0, 1.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 3.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 0.0)	(21.0, 1.0)	(22.0, 5.0)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 3.0)	(26.0, 6.0)	(27.0, 7.0)	(28.0, 10.0)	(29.0, 11.0)	(30.0, 14.0)	(31.0, 15.0)	(32.0, 7.0)	(33.0, 5.0)	(34.0, 3.0)	(35.0, 5.0)	(36.0, 0.0)	(37.0, 1.0)						
FAY99780_pass_barcode08_98e12ebb_5ad7f319_135	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 1.0)	(20.0, 1.0)	(21.0, 5.0)	(22.0, 4.0)	(23.0, 5.0)	(24.0, 3.0)	(25.0, 6.0)	(26.0, 6.0)	(27.0, 4.0)	(28.0, 11.0)	(29.0, 17.0)	(30.0, 10.0)	(31.0, 13.0)	(32.0, 12.0)	(33.0, 10.0)	(34.0, 5.0)	(35.0, 1.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 1.0)								
FAY99780_pass_barcode08_98e12ebb_5ad7f319_136	(15.0, 1.0)	(16.0, 2.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 4.0)	(20.0, 1.0)	(21.0, 4.0)	(22.0, 7.0)	(23.0, 1.0)	(24.0, 2.0)	(25.0, 3.0)	(26.0, 10.0)	(27.0, 10.0)	(28.0, 9.0)	(29.0, 10.0)	(30.0, 6.0)	(31.0, 10.0)	(32.0, 12.0)	(33.0, 8.0)	(34.0, 4.0)	(35.0, 3.0)	(36.0, 0.0)	(37.0, 1.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_137	(16.0, 1.0)	(17.0, 3.0)	(18.0, 5.0)	(19.0, 3.0)	(20.0, 3.0)	(21.0, 2.0)	(22.0, 5.0)	(23.0, 1.0)	(24.0, 3.0)	(25.0, 6.0)	(26.0, 6.0)	(27.0, 7.0)	(28.0, 9.0)	(29.0, 12.0)	(30.0, 16.0)	(31.0, 9.0)	(32.0, 9.0)	(33.0, 7.0)	(34.0, 6.0)	(35.0, 0.0)	(36.0, 2.0)														
FAY99780_pass_barcode08_98e12ebb_5ad7f319_138	(15.0, 1.0)	(16.0, 3.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 2.0)	(22.0, 2.0)	(23.0, 3.0)	(24.0, 4.0)	(25.0, 6.0)	(26.0, 7.0)	(27.0, 7.0)	(28.0, 8.0)	(29.0, 8.0)	(30.0, 10.0)	(31.0, 2.0)	(32.0, 10.0)	(33.0, 9.0)	(34.0, 4.0)	(35.0, 2.0)	(36.0, 3.0)	(37.0, 1.0)												
