.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
FAY99780_pass_barcode01_98e12ebb_5ad7f319_86	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_87	1	1	1	0.5	0.5	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_88	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_89	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_9	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_90	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_91	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_92	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_93	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_94	1	1	1	1	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_95	1	1	1	0.25	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_96	1	1	1	1	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_97	1	1	1	1	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_98	1	1	1	0.5	0.5	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_99	1	1	1	0.5	0.25	1	0.5	1	0.5	1
